x1,y1,x2,y2,confidence,class
62.964996,257.50778,66.022,73.18093,0.6943003,0.959489
64.39536,257.4611,65.48529,72.23957,0.6451108,0.962444
589.26965,347.48804,77.46597,34.094677,0.8274106,0.0004903112
589.523,347.81924,77.093376,33.778816,0.5235604,0.0020762288
64.61406,256.22055,64.58902,74.9222,0.5228045,0.88342255
63.302635,257.26733,68.06611,74.35434,0.7724947,0.97225666
63.944374,257.62256,67.66337,73.623184,0.80059683,0.98228997
589.26935,347.3521,77.450005,35.224144,0.79417014,0.00080669794
589.248,347.43594,77.55576,35.084827,0.8122343,0.00064118014
589.43365,346.80832,78.568085,35.052177,0.76125634,0.0006898321
64.56409,256.1842,64.1165,75.4551,0.5263192,0.908497
63.548096,257.20062,67.61022,74.66076,0.7810634,0.9762339
63.957584,257.60977,67.31351,73.92261,0.8059528,0.9831282
589.27893,347.38608,78.02575,35.20337,0.79770964,0.0010057684
589.2876,347.55115,78.06615,35.239304,0.8157485,0.00061134144
589.48474,346.912,78.523766,35.524364,0.75422573,0.0008036669
64.58337,256.34445,64.458755,75.689644,0.5306184,0.94618994
63.525703,257.26355,67.94371,74.51146,0.78656167,0.9899108
63.950703,257.59763,67.402214,73.90483,0.8051296,0.9920678
589.28076,347.26517,77.92175,35.59772,0.75545424,0.0014666567
589.29407,347.2776,77.93133,35.460888,0.7673891,0.00075889274
589.5395,346.98788,78.45215,35.88357,0.73311895,0.0011924516
62.658375,256.3193,68.15312,74.92827,0.52606803,0.9367143
64.810036,256.3869,64.59978,73.78853,0.5232888,0.96644294
63.423843,256.74585,67.096954,73.0998,0.78566563,0.9770429
63.693405,257.43356,66.73132,72.55635,0.78517467,0.9871863
589.0643,348.136,79.02018,35.215668,0.769261,0.00020054224
589.55255,347.25385,78.81464,35.625267,0.81949925,0.00076007104
307.11725,350.80905,230.2817,347.51532,0.55321985,0.8080206
589.39886,347.50824,78.31801,36.326714,0.760666,0.0002603393
62.558178,256.30286,68.06251,75.01257,0.525196,0.9855586
64.95105,256.32196,64.85508,74.08768,0.52506465,0.9931525
63.356403,256.8891,67.21251,73.08199,0.80338585,0.99473983
63.751335,257.4168,66.77805,72.82961,0.79240984,0.9970701
308.50027,348.70804,237.54199,362.28357,0.77224195,0.80569
307.12888,350.54382,231.43793,356.51797,0.7771722,0.92698765
309.50534,348.78198,239.40363,362.41373,0.77475566,0.8510854
307.16928,350.54517,233.57133,360.07053,0.7736759,0.9560943
